SDNN,RMSSD,LF,HF,LF/HF Ratio
44.560692568924715,46.799293937446095,42.583026718454704,15.571626471866072,2.7346550339742155
60.72973598932679,102.41614564917052,65.42513289186593,50.60218529554753,1.292930977382565
76.99378762818031,112.4824326677854,51.55125978224088,60.62579828294434,0.8503188616444763
31.516375108822395,7.891827193676348,69.57031042401752,23.764088753471697,2.9275395806562954
14.475055555448943,9.986613113141606,44.476430562198445,14.993630000625366,2.9663550828147276
12.733968570542162,9.540794298843405,14.822404434577663,21.47287353148929,0.6902850898293177
9.575758745684624,5.9287858514404785,56.273606217436296,10.049257717720637,5.59977739631502
18.07089618388886,9.28695276389387,63.34241565123034,13.702134510359201,4.622813737767768
13.197684982181112,7.92692376659053,9.066190008241174,4.752119019998669,1.9078204838909345
24.148360882952975,6.109097333822216,10.869370051427355,9.698611540318558,1.1207140327501295
13.655450275337765,15.17930733720937,9.121497643084988,1.5832184022389968,5.761364086082699
10.805868261684893,4.046138586132954,6.204896661629143,0.6751258564106519,9.190725851647658
8.220204782526203,6.083037438780511,6.685037231242174,0.8572596266682525,7.7981477527684735
5.635952054050456,5.259487366451177,8.980682451871845,2.436268925703306,3.6862443046098807
6.038081925026634,6.029193193832976,20.911412289850627,1.3450941335899311,15.546430370668567
8.598456579849406,5.829804634254788,12.909312724168618,4.412748862887799,2.9254582858178977
21.875989882364944,7.09090519291081,20.90811987541348,4.183146197965517,4.998180528708797
8.596781697563081,8.900227346688537,34.59780509600198,2.013733056771768,17.18092920988545
7.8835243105831525,9.215553233782673,27.230777732949225,3.2299678103585205,8.430665360075727
12.632787587156772,5.2234357406265515,2.61977635919557,3.1205752790487167,0.8395171162139657
6.944923005732717,5.439850479944018,24.014561157938424,4.870029170283266,4.931091851456325
6.084014573727888,6.272784556076872,9.980202910764117,3.6128190444634942,2.7624419568033423
9.8125650740942,5.864124816732735,17.66877924954715,6.305332202704759,2.8021964079811505
8.93973651115562,5.834392323049952,20.113066966267304,2.841949844431631,7.077206871076843
10.34829239805078,4.397475712512858,19.706907615643793,16.724183315074487,1.1783479793527976
22.413219313610437,7.039544299632491,12.200418063364067,1.3547225423700064,9.005842659132373
22.32019613613544,8.176154250487157,70.92363569180347,17.569097731297667,4.03683995481793
10.11435942937894,6.184996410832159,7.7322707902535,3.2243099196874847,2.3981164909243424
7.391117792473763,6.917091429651183,2.1605454543719658,1.908864217051897,1.1318486852400493
473.9818539775547,610.5274680943184,23464.924951115943,40524.704503566274,0.5790276632134597
11.461384442262347,2.7150022943257306,5.239694952955788,1.9437503408163646,2.695662525648816
35.92830809017065,46.430622175298105,45.616220720877855,3.9784625152941375,11.465791256174581
34.73423079454746,45.478136170749316,179.63311205834648,376.7880575956423,0.47674842245431087
15.323766580779747,17.997491463997296,32.07772892684335,25.223096488763126,1.2717601481298682
16.53226609458674,4.380711751702572,218.395550943032,42.402038754367155,5.150590805507873
21.188420317606393,3.977781099421685,104.26825637615858,16.19529398263847,6.438182381124743
35.27061981624681,46.253590658774066,46.45226105684941,118.47435859916524,0.3920870440329753
31.48441078092811,43.56972653384588,96.00962063431847,179.7815867497554,0.5340347828165394
18.469459475938468,22.296797016402053,123.3207468266051,20.795676102328276,5.930114809433782
8.835531801890717,4.108071832454005,15.94330688439922,7.438325593662293,2.1433999740456993
38.22201285472374,49.21507640773707,148.80944683554165,249.9973079407578,0.595244197072735
14.717036235450248,5.728821693272626,36.56440250517946,22.53392066404558,1.6226382905270664
43.62089853371763,50.12946449646496,204.10514122431772,459.6754299346907,0.44402012361921617
12.488040501037606,3.9461254864125963,85.96536227429397,15.02914515085292,5.719910308366098
13.424469780549579,6.137771647974173,47.69885440843202,12.58717371855068,3.789480901350759
9.085580150252744,3.366170476807401,27.949643161580486,4.9698893480251085,5.623795864325807
43.76951894742378,42.6954682610865,248.264150277628,479.0460443537662,0.5182469476656189
7.908282577989568,5.226956115571826,12.918255562720894,16.63964671703514,0.7763539564512265
55.49790826889083,70.9929573971954,114.46808856569955,55.98925206774584,2.0444653989518473
15.2497180301801,5.213822636827447,113.13734713191502,24.720285612347467,4.576700646023457
10.708737865251285,5.384854270859579,7.137862223932588,9.946326201708947,0.7176380584326887
9.90051121014578,4.860598529008611,6.744110684032964,15.86011414981932,0.4252245992888893
12.587815537256654,6.273850812170937,15.1390530373433,18.09030057908446,0.8368602263495104
12.808283344079419,6.046918007655169,52.2525153463749,16.54446302871136,3.158308326821824
17.2549751279643,5.495513524350665,84.22819280656519,8.885907308551177,9.478851160816168
56.47678962783443,29.3933648918519,508.7563745733778,130.7196018931868,3.8919669828025585
35.85408329449923,48.99747451003168,31.735231790546596,24.756293647672546,1.2819056132633235
8.621870768896711,6.164956525654556,12.163820672046901,5.516007307899854,2.205185742706732
36.33732455142447,28.53877254651185,165.15731959558522,231.51336558915025,0.7133813599715784
47.6648829503091,62.20026454685701,163.0063902275536,278.7299157192653,0.5848184246994586
13.912079483512002,6.039446695514405,96.58613227735536,17.41396407515193,5.5464759121201235
29.727304882137492,6.973672420139289,122.49255540334923,112.0603157304417,1.0930948623953731
25.839774680820177,8.549873358603655,70.0980296720375,92.18762751385921,0.7603843548473918
54.608430260863166,37.478421885445115,338.15310156381935,279.4117631282783,1.2102321597984147
16.504253997076027,4.247761558853035,109.63450005836486,22.442847829991887,4.885052952676215
117.83025545249403,117.37597880885932,53.251632124795655,6.817003630182459,7.811589228003736
10.26654707722557,6.77221354168492,21.272549977521223,3.4010154148855634,6.254764351968395
