SDNN,RMSSD,pNN50,VLF,LF,HF,LF/HF Ratio
25.2,16.2,84.0,244.69,66.67,60.34,1.2
32.33,10.27,0.64,53.96,80.41,22.21,2.32
81.85,10.69,0.67,50.51,77.57,24.07,2.41
31.73,10.05,0.54,55.56,81.14,21.92,2.58
22.0,16.00,1.0,,158.49,275.42,1.24
30.90,23.99,,,177.83,181.97,0.98
21,11,,,62.18,37.71,1.14
